ashutosh10@example.com,Hello Ashutosh,OK
kumarashutosh@flash.co,Hello Ashutosh,OK
david11@example.com,Hello David,OK
grace1@example.com,Hello Grace,OK
bob12@example.com,Hello Bob,OK
eva2@example.com,Hello Eva,OK
kevin13@example.com,Hello Kevin,OK
julia3@example.com,Hello Julia,OK
ashutosh14@example.com,Hello Ashutosh,OK
alice4@example.com,Hello Alice,OK
alice15@example.com,Hello Alice,OK
eva5@example.com,Hello Eva,OK
ashutosh16@example.com,Hello Ashutosh,OK
kevin6@example.com,Hello Kevin,OK
grace17@example.com,Hello Grace,OK
charlie7@example.com,Hello Charlie,OK
charlie18@example.com,Hello Charlie,OK
bob8@example.com,Hello Bob,OK
bob19@example.com,Hello Bob,OK
kevin9@example.com,Hello Kevin,OK
ak0704176@gmail.com,Welcome to mailgrid,OK
kumarashutosh@flash.co,Welcome to Acme Corp,OK
bob@gmail.com,Welcome to Gadgetry,OK
alice15@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
kumarashutosh@flash.co,Welcome to Gadgetry - Let's Get Started! 🚀,OK
ashutosh16@example.com,Welcome to Widgets Inc - Let's Get Started! 🚀,OK
grace1@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
grace17@example.com,Welcome to NetSpark - Let's Get Started! 🚀,OK
eva2@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
charlie18@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
julia3@example.com,Welcome to FutureSoft - Let's Get Started! 🚀,OK
bob19@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
alice4@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
eva5@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
kevin6@example.com,Welcome to Mailgrid - Let's Get Started! 🚀,OK
charlie7@example.com,Welcome to Widgets Inc - Let's Get Started! 🚀,OK
bob8@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
kevin9@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
ashutosh10@example.com,Welcome to FutureSoft - Let's Get Started! 🚀,OK
david11@example.com,Welcome to Mailgrid - Let's Get Started! 🚀,OK
bob12@example.com,Welcome to Mailgrid - Let's Get Started! 🚀,OK
kevin13@example.com,Welcome to ByteBank - Let's Get Started! 🚀,OK
ashutosh14@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
kumarashutosh@flash.co,Welcome to Gadgetry - Let's Get Started! 🚀,OK
grace1@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
eva2@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
julia3@example.com,Welcome to FutureSoft - Let's Get Started! 🚀,OK
alice4@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
eva5@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
kevin6@example.com,Welcome to Mailgrid - Let's Get Started! 🚀,OK
charlie7@example.com,Welcome to Widgets Inc - Let's Get Started! 🚀,OK
bob8@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
kevin9@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
ashutosh10@example.com,Welcome to FutureSoft - Let's Get Started! 🚀,OK
david11@example.com,Welcome to Mailgrid - Let's Get Started! 🚀,OK
bob12@example.com,Welcome to Mailgrid - Let's Get Started! 🚀,OK
kevin13@example.com,Welcome to ByteBank - Let's Get Started! 🚀,OK
ashutosh14@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
alice15@example.com,Welcome to TechNova - Let's Get Started! 🚀,OK
ashutosh16@example.com,Welcome to Widgets Inc - Let's Get Started! 🚀,OK
grace17@example.com,Welcome to NetSpark - Let's Get Started! 🚀,OK
charlie18@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
bob19@example.com,Welcome to Gadgetry - Let's Get Started! 🚀,OK
ak0704176@gmail.com,Welcome to <no value> - Let's Get Started! 🚀,OK
